Date,Tweet
2022-01-05 00:07:21+00:00,"Sch! Kalo pil 1 gizi unair pil 2 gizi unesa udah bener blm ya kalo buat snm? Apa mending pilih 1 kampus 2 jurusan aja??? Help bingung 😭 tia &lt;3

✄・・・
🧐 Ads: Mau kirim menfess tapi belum difollowback? Download aplikasi Schoolfess sekarang!"
2022-01-04 20:02:06+00:00,"*Tim PKM Unesa Gelar Pelatihan Susun Artikel Ilmiah bagi Guru MGMP Bisnis Pemasaran Surabaya*

https://t.co/MMjc9rRcHQ"
2022-01-04 20:00:39+00:00,"*Bersama Unesa, Wamendag RI Dorong Inovasi Produk Lokal dan Pertumbuhan Ekosistem Digital*

https://t.co/DrUKvHGIyc"
2022-01-04 19:58:04+00:00,"*HUT Jurusan Manajemen ke-6 FEB Unesa, Gelar SENIMA VI dan Hadirkan Sandiaga Uno*

https://t.co/WCGj7LQj8h"
2022-01-04 19:44:23+00:00,"*Dosen FEB Unesa Latih Pelayananan Jasa Karyawan di Edu Wisata Lontar Sewu Gresik*

https://t.co/M67gD6svrB"
2022-01-04 19:39:45+00:00,"*S2 Manajemen Unesa Latih Penulisan Karya Ilmiah bagi Guru Kewirausahaan SMK se-Nganjuk*

https://t.co/cpW97jC1Bg"
2022-01-04 18:28:44+00:00,"Dokumentasi MASTA IMM UNESA 2021 ""Witing Tresno Jalaran Saka IMM"" yang diselenggarakan pada tanggal 27-29 Desember 2021 di Villa Graha Umsida Trawas, Mojokerto.

See this Instagram post by @imm.unesa https://t.co/4ULn3BAm6h"
2022-01-04 15:32:06+00:00,"nesa! rek, kan kalender akademik udah keluar nah bayar ukt terakhir tgl 28 januari berarti batas akhir spk juga tgl 28 ya?"
2022-01-04 15:26:38+00:00,Kolam renang unesa itu buka tiap hari atau weekend tok nesa!
2022-01-04 13:29:21+00:00,Nesa! Ada yg punya link grub tele posko ukt unesa? Trima kasih
2022-01-04 13:10:28+00:00,stereotype anak unesa lantas apa donk? https://t.co/kVvlg2xrOP
