User,Isi konten,preprocessed,Date
GagahSamudra2,,"dulu kita punya minyak berlimpah, kurang berhasil buat dilanjutkan dengan industri manufaktur. kini ada nikel, batu bara dll. mesti berhasil buat memajukan industri manufaktur. jangan gagal lagi gara-gara korupsi! https://t.co/ fhebbyiih https://t.co/lpvsgzobkn",2023-06-26 22:07:00+00:00
senopram0222,,ya apesnya anies. kok mau dia didukung partai yg sdh terindikasi sejak sgt diyakini bahwa korupsi pasti akan ketahuan.. nah akhirnya modal keliling naik pesawat gratis terhenti dah.....,2023-06-26 22:05:31+00:00
DavinaSastro,,"@__anakkolong salah satu jaksa agung terbaik, banyak kasus mega korupsi yang dibongkar, tanpa rasa takut meskipun pelakunya orang besar.",2023-06-26 21:59:54+00:00
a_djaffar,,kepala desa yg korupsi dana desa kok gak diusut?,2023-06-26 21:56:46+00:00
Artframe111,,"semangat pagi, khususnya kalian pekerja lapangan. buat oknum pejabat yg korupsi anggaran proyek infrastruktur, kalian fak'e zoo'u https://t.co/uu gokfmq",2023-06-26 21:50:54+00:00
adie_rew,,"pajaknya pada di korupsi habis an,para pejabatnya juga pada kagak byr pajak,terus gmna..?",2023-06-26 21:50:54+00:00
sir_usil,,setuju!!! pak harus mengusut tuntas kasus korupsi bts hingga ke akarnya. partai yang terlibat harus diseret ke mk. https://t.co/ afw gkh,2023-06-26 21:48:59+00:00
Adm61481192,,_lbs di seluruh medya elekronik lah di bahas bahwa demokrat ngotot untuk menyetujui sahkan .setujui ruu penyitaan aset para mafia korupsi dan mafia lain nya alias di miskinkan,2023-06-26 21:46:09+00:00
selichaplin,,poin dua kok malah berasa si paling suci padahal dia th terjerat kasus korupsi dan sampai skrg kasusnya ga jelas. dianya malah asyik ngetwit nglempar bola panas dari negeri kanguru. terus dipoint tiga merasa jd hero krn ‘akhirnya’ putusan mk tdk sesuai cuitannya. menghadeh,2023-06-26 21:45:48+00:00
Ach_Faizal,,"moral udah gak ada .. kalo korupsi kecil an gpp, lecehkan wanita gpp. suram amat negeri wakanda punya pejabat kek orang _ri ini.",2023-06-26 21:44:26+00:00
GomarusBudiatn4,,korupsi adalah kejahatan yang sangat menyengsarakan rakyat banyak oleh karena itu harus diberantas sampai habis. korupsi hilang rakyatpun senang.,2023-06-26 21:42:33+00:00
bajigurwizard,,"_burhanuddin yang seperti ini wajib diperiksa, capek kejagung cari nama untuk kasus korupsi, jangan sampai dirusak karena kasus seperti ini.",2023-06-26 21:37:36+00:00
Momonsimomon,,"_lira padahal reformis amandemen pasal uud untuk cegah korupsi lha kok saat bahas ruu kup presiden ganti menkeu begini https://t.co/kpjq qhwj akibatnya tax ratio jeblok, target https://t.co/u emi gfam gagal &amp; pajak tak berfungsi cegah orang atau partai dapat duit dari korupsi",2023-06-26 21:37:11+00:00
Angkoe5,,dampak image dirjen pajak yg korupsi di media...rakyat susah payah bayar pajak eeh malah di dimakan pejabat pajak dgn berbagai mekanisme yg mereka susun rapih.... bubar kan ditjen keuangan dan pajak.... restrukturisasi dan reformasi ulang personal nya dgn screening yg transparan,2023-06-26 21:33:12+00:00
DybalaGonzalo,,dan sang partai korupsi sangat mati matian membela serangga ini,2023-06-26 21:32:18+00:00
ComIndotimur,,jaksa periksa bendahara pengeluaran soal korupsi retribusi di ternate https://t.co/eefc mwms,2023-06-26 21:20:42+00:00
DjazDja,,__ pergi naik haji pakai duit korupsi bts... masih tetap halal yaaa...,2023-06-26 21:20:23+00:00
guru_yunus59672,,"temuan korupsi dana megah proyek apa? paku anggaran dana tahun beberapa? selama ini di tiap tahun pemeriksaan oleh bpk ri tidak pernah ada temuan yang merugikan negara seperti yang dituduhkan oleh menkopolhukam ri mahfud md, kpk ri, dan lainnya. watak kepemimpinan https://t.co/qfw bzznqo",2023-06-26 21:14:42+00:00
king_achel,,kalo sama korupsi bansos kesel juga ga pak..,2023-06-26 21:11:46+00:00
M_Dwicahyoo,,jadi gapapa kita buat korupsi toh bakal diampuni *ucap seorang koruptor lemah iman,2023-06-26 21:04:42+00:00
_tenanan_iso,,korupsi pake kode juz dan liqo merendahkan banget,2023-06-26 21:03:46+00:00
muadz_2019,,"petugas partai sok an jd presiden, ktk ada presiden dberi gelar petugas partai ya begini ini nih gak ada prestasi cuma dugaan korupsi doank ?! klo kpilih juga bakal dr curang lanjutkan hutang, korupsi, impor segala, subsidi wong sugih, jual aset negara, miskinkan rakyat lg kn ?!",2023-06-26 21:00:08+00:00
manukahoneyland,,hutang &amp; korupsi melimpah regim jokowi yg serakah buang di tong sampah. https://t.co/jlv rwkhqc,2023-06-26 20:55:39+00:00
SINDOnews,,"adanya uji materi yang mendorong penghilangan kewenangan kejaksaan dalam mengusut kasus tindak pidana korupsi (tipikor) disayangkann,senin ). .https://t.co/ lwcov",2023-06-26 20:50:03+00:00
Kecebingitz,,bukannya parpol pemenang korupsi yg kacau?,2023-06-26 20:48:02+00:00
YudiWicaksana,,letoy nanganin korupsi otaknya pindah ke ngk ngan,2023-06-26 20:41:37+00:00
riea_mariska86,,_id nah konsisten _id untuk memberantas korupsi,2023-06-26 20:36:23+00:00
titisan_suketi,,_id betul banget aki korupsi itu mulai dari yg kecil macam virus menular harus putus,2023-06-26 20:34:11+00:00
YudiWicaksana,,pantesan letoy nanganin korupsi otaknya isinya langk ngan,2023-06-26 20:31:47+00:00
gentanisme,,tugu korupsi https://t.co/hu ftwslxk,2023-06-26 20:26:11+00:00
parkhancok,,kelasssss. pssi yg skrg dan selanjutnya smoga bisa menjadikan spakbola indo maju tanpa korupsi,2023-06-26 20:08:48+00:00
YusufWi70781128,,"inilah repotnya mengatur indonesia,pingin mencegah dan membuat jerah korupsi, malah orang yg kita percayai yang berbuat korupsi, pelaku hukumnya sendiri malah yg terlibat, bukannya ini malah kecelakaan kwadarat..",2023-06-26 20:00:28+00:00
kadrun_pekok,,biar pada korupsi unt pks trus maju krn tahan malu..,2023-06-26 19:53:52+00:00
arempeg,,uang korupsi proyek bts disebut mengalir ke komisi dpr hingga ke pengawas keuangan https://t.co/gxg https://t.co/nvqfxoejvc,2023-06-26 19:53:31+00:00
bigjoe_july15,,"duit hsl korupsi, di belanjain makanan paling enak paling mahal sekalipun, pas dimakan akan ttp jd pejuh yg membuahkan anak yg jelek taunya? ahh, gosah bawa dalil agama u/ngecek kebenaran hal ini, pake logika aja udh ketahuan.. tuh msh ada contohnya si mario..",2023-06-26 19:46:51+00:00
kadrun_pekok,,si pepo koar ga beda kaya ember bocor apa hak nya presiden pak jokowi. unt urusan korupsi si yaman anies dasar pepo pepo.. bacooot,2023-06-26 19:44:16+00:00
supriaden_supri,,duit masyrakat yg bayar pajak bayak di korupsi sama oknum mafia pajak...jadi bayak yesel bayar pajak.. semua di pajakin tapi duitnya entah kemana pegawai pajak yg tambah kaya raya... gayus era baru...,2023-06-26 19:41:21+00:00
prayogi12753276,,"_arda lha yg ini yg perlu di jelaskan, emang ada apa dgn ikn, buktinya mana kalau presiden korupsi",2023-06-26 19:41:11+00:00
BahasInggris,,_gsp tahun kapan ya perampasan aset buat terpidana korupsi? ayolah dpr masa buat kepentingan rakyat yg memilihmu aja susah gini,2023-06-26 19:36:13+00:00
im_notslim,,"bpk lagi bpk lagi, bosen baca ""temuan"" dari bpk. daerah yg pejabat nya ketangkep gara² korupsi justru dpt predikat wtp dari badan satu ini",2023-06-26 19:30:13+00:00
u45,,_numb kelakuan anak bejad hasil dari makan uang korupsi.,2023-06-26 19:21:35+00:00
abasganteng23,,_gsp _burhanuddin banten kayaknya bener gak ter ekspos pejabat sono udah kayak dinasti dari zaman ratu atut korupsi ampe berapa tahun itu ampe mobil nya ferrari,2023-06-26 19:18:32+00:00
meutia3994,,"__ pejabat juga banyak yang udah kesana bolak balik tapi korupsi wkwk ironis yak hidup, lucu",2023-06-26 19:12:57+00:00
d3rivaway,,kpk tunjukkan uang tunai rp miliar yang disita dari kasus korupsi lukas enembe •rilidigital https://t.co/g ddiafkko,2023-06-26 19:10:52+00:00
PaskRoony,,"hebat dlm hal korupsi komplitlah mulai dr rumah hantu hambalang, daging sapi, dan terakhir tower serta didukung oleh kaum intoleransi yang satu penyedia, yang satunya pemakai dan satunya baru mau coba pake sm dukung bpk intoleransi dan formula",2023-06-26 19:03:46+00:00
AdiHaryadi1,,saksi kunci korupsi yang meninggal di semarang gimana kabarnya?,2023-06-26 19:02:16+00:00
fajareko326,,_id _ri miskinkan dewan yang korupsi!,2023-06-26 18:55:06+00:00
DannyAlmadani,,_id _ri berantas korupsi!,2023-06-26 18:54:59+00:00
kolakmanis,,"mangkir dari pemeriksaan, kejati sultra cekal tersangka korupsi pertambangan pt antam https://t.co/ asjiapzod https://t.co/ asjiapzod https://t.co/khjgbbbhla",2023-06-26 18:50:34+00:00
athic_d,,gimana ga terjun bebas banyak yg korupsi uang pajak..makanya malas kita bayar pajak karna hanya memberikan peluang para pejabat pajak untuk korupsi lagi..,2023-06-26 18:45:24+00:00
Jhon92850351,,yg bikin miskin ente wo ...dah tau korupsi utang gege ..eh malah tibul tengelam dalam kenikmatan,2023-06-26 18:36:26+00:00
medcom_id,,"komisi pemberantasan korupsi (kpk) ogah menanggapi lebih jauh soal adanya asumsi upaya menjegal bakal calon presiden (capres) anies baswedan melalui perkara di lembaga antikorupsi. namun, asumsi itu dihargai sepenuhnya. https://t.co/dhtmrczc",2023-06-26 18:15:00+00:00
aih_aria,,_yuntho yg nge-tweet aktivis anti korupsi apa buzerp?,2023-06-26 18:13:32+00:00
zabidy72,,beli cumi di pasar uang hasil korupsi.. dibawakla ke laut.. buat judul ngetweet..,2023-06-26 18:11:12+00:00
mzmzbiasa,,"saran mas rafi, nanti klo udah ada tugas riset etnografi, kamu ndaisa ngluarin unek mu tanpa empati seperti yg kamu lakuin di medsos. udah hati aja susah ambil data, apalagi tiba kamu kritik kades yg korupsi secara langsung. semangat kuliah antrop",2023-06-26 18:06:02+00:00
gngmulyana,,rakyat miskin? elite politiknya pada korupsi..,2023-06-26 18:02:45+00:00
iinqa_mail,,"anda punya perusahaan, anak buah anda korupsi dalam menjalankan tugasnya. apakah otomatis anda jadi tersangka juga?",2023-06-26 17:58:08+00:00
asfan_warah,,"_timur banyak kasus korupsi petinggi bumn yg jk dirunut terkait erat dg petinggi parpol bahkan sekelas direktur pun seakan tak berdaya, dan krn mrk terlalu lihai kadang tdk tersentuh, tinggal hanya direktur bumn dan supplier/vendor yg jd pesakitan.",2023-06-26 17:57:17+00:00
Priagarislurus,,"selama pdip berkuasa, indonesia gak maju-maju. contoh sederhananya saja, pekerja partai muncul ngeprank dengan esemka suv hitam ad thn dan bikin runyam korupsi meraja lela serta hutang menggunung. gak pernah ngaca...!!!",2023-06-26 17:56:08+00:00
zabidy72,,tersangka korupsi sudah mulai gemetaran.. penyidikan.. haha bakal jadi tersangka lagi...,2023-06-26 17:54:19+00:00
salima252lagi,,"hhh ciri ciri you tinggal di indonesia ketika keluarga pejabat walau kelas rendah/eks kadis doang (di keluarga eug yg jd kadis ga ada yg segininya powerful) pernah trlibat korupsi &amp; skrg anak jd rapist, penyebar video asusila, bully, malah diberi layanan istimewa di pengadilan",2023-06-26 17:53:42+00:00
kompascom,,"jika aa tersangka korupsi pertambangan pt antam tidak segera memenuhi panggilan, maka tim penyidik akan melakukan upaya paksa https://t.co/ nic iy",2023-06-26 17:53:15+00:00
Mahdi_Muntazor,,assalamu'alaikum dan @_tnial_ back up _ri dgn kekuatan dan pasukan. kita sikat tindak pidana korupsi dr indonesia. besok para petinggi kalian datang ke kantor _ri untuk membahas ini. -presiden-,2023-06-26 17:52:43+00:00
